evaluation,fitness
4890,9.89251792319937
4910,9.89251792319937
4930,9.89251792319937
4950,9.89251792319937
4970,9.89251792319937
4990,9.89251792319937
5010,9.89251792319937
5030,9.89251792319937
5050,9.89251792319937
5070,9.89251792319937
5090,9.89251792319937
5110,9.89251792319937
5130,9.89251792319937
5150,9.89251792319937
5170,9.89251792319937
5190,9.89251792319937
5210,9.89251792319937
5230,9.89251792319937
5250,9.89251792319937
5270,9.89251792319937
5290,9.89251792319937
5310,9.89251792319937
5330,9.89251792319937
5350,9.89251792319937
5370,9.89251792319937
5390,9.89251792319937
5410,9.89251792319937
5430,9.89251792319937
5450,9.89251792319937
5470,9.89251792319937
5490,9.89251792319937
5510,9.89251792319937
5530,9.89251792319937
5550,9.89251792319937
5570,9.89251792319937
5590,9.89251792319937
