MBF,xover,mutation,mixingfactor,p1,p2,p3
0.029200,2,6,0.5,-,0.01,0.05
0.000054,2,6,0.5,-,0.01,0.1
0.000056,2,6,0.5,-,0.05,0.01
0.000641,2,6,0.5,-,0.05,0.05
0.000750,2,6,0.5,-,0.05,0.1
0.005623,2,6,0.5,-,0.1,0.01
0.001052,2,6,0.5,-,0.1,0.05
0.000027,2,6,0.5,-,0.1,0.1
0.000000,2,6,0.75,-,0.01,0.01
0.000001,2,6,0.75,-,0.01,0.05
0.037799,2,6,0.75,-,0.01,0.1
0.000000,2,6,0.75,-,0.05,0.01
0.000035,2,6,0.75,-,0.05,0.05
0.001918,2,6,0.75,-,0.05,0.1
0.000039,2,6,0.75,-,0.1,0.01
0.000951,2,6,0.75,-,0.1,0.05
0.000389,2,6,0.75,-,0.1,0.1
0.000248,2,6,1.0,-,0.01,0.01
0.000439,2,6,1.0,-,0.01,0.05
0.000593,2,6,1.0,-,0.01,0.1
0.000110,2,6,1.0,-,0.05,0.01
0.000463,2,6,1.0,-,0.05,0.05
0.000006,2,6,1.0,-,0.05,0.1
0.001029,2,6,1.0,-,0.1,0.01
0.000216,2,6,1.0,-,0.1,0.05
0.000389,2,6,1.0,-,0.1,0.1
